Event Type,Total Distinct Users
winline,"369,107"
registration,"368,996"
identification,"285,647"
legal,"232,352"
first_dep,"206,700"
first_bet,"199,670"
last_dep,"153,300"
second_dep,"85,187"
first_dep_afterbind,"36,878"
task_dep_3000,"27,727"
874,"27,710"
task_bet_5000,"20,116"
875,"20,106"
task_dep_5000,"12,034"
889,"12,027"
crm0,"8,874"
task_dep,"8,675"
876,"7,623"
task_bet_25000,"6,613"
task_bet,"4,240"
task_first_dep_500,"3,571"
task_bet_2500,"3,569"
867,"3,568"
reactivated_dep,"3,202"
1118,"1,199"
task_dep_1111,"1,199"
869,"1,097"
task_bet_1000,"1,097"
875_manual,827
1119,798
task_dep_2222,798
876_manual,499
task_first_dep,366
task_bet_4444,168
1120,168
task_bet_5555,75
1121,75
task_bet_3333,41
1148,41
bet_500,1
857,1
